All calculations;C 2-29 MT ind;C 2-29 MT ind;N21\N21 DG;N23\N23 DG;N29\N29 DG
"b:tnow in s";"m:Psum:bus1 in MW";"m:Qsum:bus1 in Mvar";"m:u1 in p.u.";"m:u1 in p.u.";"m:u1 in p.u."
3.471667;0.172600;0.086400;1.004971;1.000000;1.021782
3.481667;0.172600;0.086400;1.004971;1.000000;1.021782
3.491667;0.172600;0.086400;1.004971;1.000000;1.021782
3.501667;0.172600;0.086400;1.004971;1.000000;1.021782
3.511667;0.172600;0.086400;1.004971;1.000000;1.021782
3.521667;0.172600;0.086400;1.004971;1.000000;1.021782
3.531667;0.172600;0.086400;1.004971;1.000000;1.021782
3.541667;0.172600;0.086400;1.004971;1.000000;1.021782
3.551667;0.172600;0.086400;1.004971;1.000000;1.021782
3.561667;0.172600;0.086400;1.004971;1.000000;1.021782
3.571667;0.172600;0.086400;1.004971;1.000000;1.021782
3.581667;0.172600;0.086400;1.004971;1.000000;1.021782
3.591667;0.172600;0.086400;1.004971;1.000000;1.021782
3.601667;0.172600;0.086400;1.004971;1.000000;1.021782
3.611667;0.172600;0.086400;1.004971;1.000000;1.021782
3.621667;0.172600;0.086400;1.004971;1.000000;1.021782
3.631667;0.172600;0.086400;1.004971;1.000000;1.021782
3.641667;0.172600;0.086400;1.004971;1.000000;1.021782
3.651667;0.172600;0.086400;1.004971;1.000000;1.021782
3.661667;0.172600;0.086400;1.004971;1.000000;1.021782
3.671667;0.172600;0.086400;1.004971;1.000000;1.021782
3.681667;0.172600;0.086400;1.004971;1.000000;1.021782
3.691667;0.172600;0.086400;1.004971;1.000000;1.021782
3.701667;0.172600;0.086400;1.004971;1.000000;1.021782
3.711667;0.172600;0.086400;1.004971;1.000000;1.021782
3.721667;0.172600;0.086400;1.004971;1.000000;1.021782
3.731667;0.172600;0.086400;1.004971;1.000000;1.021782
3.741667;0.172600;0.086400;1.004971;1.000000;1.021782
3.751667;0.172600;0.086400;1.004971;1.000000;1.021782
3.761667;0.172600;0.086400;1.004971;1.000000;1.021782
3.771667;0.172600;0.086400;1.004971;1.000000;1.021782
3.781667;0.172600;0.086400;1.004971;1.000000;1.021782
3.791667;0.172600;0.086400;1.004971;1.000000;1.021782
3.801667;0.172600;0.086400;1.004971;1.000000;1.021782
3.811667;0.172600;0.086400;1.004971;1.000000;1.021782
3.821667;0.172600;0.086400;1.004971;1.000000;1.021782
3.831667;0.172600;0.086400;1.004971;1.000000;1.021782
3.841667;0.172600;0.086400;1.004971;1.000000;1.021782
3.851667;0.172600;0.086400;1.004971;1.000000;1.021782
3.861667;0.172600;0.086400;1.004971;1.000000;1.021782
3.871667;0.172600;0.086400;1.004971;1.000000;1.021782
3.881667;0.172600;0.086400;1.004971;1.000000;1.021782
3.891667;0.172600;0.086400;1.004971;1.000000;1.021782
3.901667;0.172600;0.086400;1.004971;1.000000;1.021782
3.911667;0.172600;0.086400;1.004971;1.000000;1.021782
3.921667;0.172600;0.086400;1.004971;1.000000;1.021782
3.931667;0.172600;0.086400;1.004971;1.000000;1.021782
3.941667;0.172600;0.086400;1.004971;1.000000;1.021782
3.951667;0.172600;0.086400;1.004971;1.000000;1.021782
3.961667;0.172600;0.086400;1.004971;1.000000;1.021782
3.971667;0.172600;0.086400;1.004971;1.000000;1.021782
3.981667;0.172600;0.086400;1.004971;1.000000;1.021782
3.991667;0.172600;0.086400;1.004971;1.000000;1.021782
4.001667;0.172600;0.086400;1.004971;1.000000;1.021782
4.011667;0.172600;0.086400;1.004971;1.000000;1.021782
4.021667;0.172600;0.086400;1.004971;1.000000;1.021782
4.031667;0.172600;0.086400;1.004971;1.000000;1.021782
4.041667;0.172600;0.086400;1.004971;1.000000;1.021782
4.051667;0.172600;0.086400;1.004971;1.000000;1.021782
4.061667;0.172600;0.086400;1.004971;1.000000;1.021782
4.071667;0.172600;0.086400;1.004971;1.000000;1.021782
4.081667;0.172600;0.086400;1.004971;1.000000;1.021782
