All calculations;C 2-29 MT ind;C 2-29 MT ind;N21\N21 DG;N23\N23 DG;N29\N29 DG
"b:tnow in s";"m:Psum:bus1 in MW";"m:Qsum:bus1 in Mvar";"m:u1 in p.u.";"m:u1 in p.u.";"m:u1 in p.u."
3.661667;0.156101;0.079861;1.024560;1.027362;1.050005
3.671667;0.156101;0.079861;1.024560;1.027362;1.050005
3.681667;0.156101;0.079861;1.024560;1.027362;1.050005
3.691667;0.156101;0.079861;1.024560;1.027362;1.050005
3.701667;0.156101;0.079861;1.024560;1.027362;1.050005
3.711667;0.156101;0.079861;1.024560;1.027362;1.050005
3.721667;0.156101;0.079861;1.024560;1.027362;1.050005
3.731667;0.156101;0.079861;1.024560;1.027362;1.050005
3.741667;0.156101;0.079861;1.024560;1.027362;1.050005
3.751667;0.156101;0.079861;1.024560;1.027362;1.050005
3.761667;0.156101;0.079861;1.024560;1.027362;1.050005
3.771667;0.156101;0.079861;1.024560;1.027362;1.050005
3.781667;0.156101;0.079861;1.024560;1.027362;1.050005
3.791667;0.156101;0.079861;1.024560;1.027362;1.050005
3.801667;0.156101;0.079861;1.024560;1.027362;1.050005
3.811667;0.156101;0.079861;1.024560;1.027362;1.050005
3.821667;0.156101;0.079861;1.024560;1.027362;1.050005
3.831667;0.156101;0.079861;1.024560;1.027362;1.050005
3.841667;0.156101;0.079861;1.024560;1.027362;1.050005
3.851667;0.156101;0.079861;1.024560;1.027362;1.050005
3.861667;0.156101;0.079861;1.024560;1.027362;1.050005
3.871667;0.156101;0.079861;1.024560;1.027362;1.050005
3.881667;0.156101;0.079861;1.024560;1.027362;1.050005
3.891667;0.156101;0.079861;1.024560;1.027362;1.050005
3.901667;0.156101;0.079861;1.024560;1.027362;1.050005
3.911667;0.156101;0.079861;1.024560;1.027362;1.050005
3.921667;0.156101;0.079861;1.024560;1.027362;1.050005
3.931667;0.156101;0.079861;1.024560;1.027362;1.050005
3.941667;0.156101;0.079861;1.024560;1.027362;1.050005
3.951667;0.156101;0.079861;1.024560;1.027362;1.050005
